Index,City,Latitude,Longitude,Temperature(F),Humidity,Wind Speed (MPH),Cloudiness
44,Dong Hoi,17.48,106.6,80.33,80,4.52,100
45,Isangel,-19.55,169.27,84.2,70,9.17,75
46,Antofagasta,-23.65,-70.4,60.8,77,6.93,90
47,Saldanha,41.42,-6.55,46.13,87,5.14,71
48,Chapais,49.78,-74.86,33.8,50,8.05,90
49,Ostrovnoy,68.05,39.51,34.07,78,18.12,37
50,Masyaf,35.06,36.34,55.4,82,4.7,40
51,Upernavik,72.79,-56.15,29.21,96,8.57,1
52,Vardo,39.62,-77.74,66.2,68,8.05,90
53,Cockburn Town,21.46,-71.14,79.79,76,16.49,20
54,Cidreira,-30.17,-50.22,68.81,77,14.85,89
55,Cape Town,-33.93,18.42,59,93,8.05,75
56,Barrow,-38.31,-60.23,55.49,61,6.35,18
57,Coquimbo,-29.95,-71.34,64,100,4.7,90
58,Tuatapere,-46.13,167.69,64,76,5.17,100
59,Alta Floresta,-9.87,-56.08,76.19,75,2.8,97
60,Castro,-42.48,-73.76,48.2,100,2.24,90
61,Dikson,73.51,80.55,13.01,94,3.87,1
62,Hermanus,-34.42,19.24,55.99,96,3,7
63,Grand Gaube,-20.01,57.66,75,88,14.99,75
64,Maumere,-8.63,122.22,81.05,72,10.85,94
65,Uspenka,48.39,39.16,60.35,91,5.75,69
66,Ihtiman,42.44,23.81,41,80,2.24,0
67,Kavaratti,10.57,72.64,84.83,60,10.18,0
68,Moree,-29.46,149.84,69.01,42,8.05,0
69,Hicaque,15.76,-87.34,84.2,83,9.17,75
70,Fez,34.03,-5.02,57.2,87,5.82,0
71,Mahebourg,-20.41,57.7,75,88,14.99,75
72,Cap Malheureux,-19.98,57.61,75,88,14.99,75
73,Saint George,39.45,22.34,50,76,0.54,20
74,Khatanga,71.98,102.47,23.27,95,10.16,100
75,Orshanka,56.92,47.89,58.19,76,3.94,2
76,Cairns,-16.92,145.77,78.8,65,8.05,59
77,Surt,31.21,16.59,63.41,70,11.1,0
78,Kaitangata,-46.28,169.85,66,66,1.99,83
79,Lazaro Cardenas,28.39,-105.62,84.2,9,11.41,20
80,Labuhan,-2.54,115.51,82.13,73,1.36,1
81,Nanortalik,60.14,-45.24,36.59,90,2.66,76
82,Georgetown,6.8,-58.16,80.6,83,11.41,20
83,Teahupoo,-17.83,-149.27,87.8,70,11.41,20
84,Havoysund,71,24.66,33.8,86,38.03,98
85,Jiangyou,31.78,104.73,53.51,86,3.94,97
86,Bafia,4.74,11.22,70.61,96,2.57,100
87,Jieshi,22.82,115.83,66.29,91,4.56,100
88,Kodinsk,58.6,99.18,30.83,58,10.27,0
89,Dannenberg,53.1,11.1,53.01,93,6.93,75
90,Portland,45.52,-122.67,79,38,6.93,40
91,Clarence Town,-32.59,151.78,68,58,9.17,0
92,Berezanka,46.86,31.39,49.91,78,11.12,88
93,Northam,51.04,-4.21,50,100,3.36,40
94,Vila Velha,-3.71,-38.6,80.6,88,4.7,0
95,Luganville,-15.51,167.18,84.2,79,19.46,75
96,Hamilton,32.3,-64.78,69.8,77,9.17,75
97,Salym,60.06,71.48,41.45,49,10.47,95
98,Gweru,-19.46,29.82,53.33,49,4.41,12
99,Yuza,39.05,139.95,69.8,30,11.41,0
100,Gushikawa,26.35,127.87,77,73,5.82,1
101,New Norfolk,-42.78,147.06,54,66,9.17,75
102,Seybaplaya,19.65,-90.67,96.8,37,11.41,5
103,Hilo,19.71,-155.08,80.01,61,5.82,90
104,Chumikan,54.72,135.31,31.01,98,7.29,100
105,Casas Grandes,30.15,-110.24,76.01,23,17.02,0
106,Hobart,-42.88,147.33,54,66,9.17,75
107,Hun,50.34,4.87,46.99,87,9.17,0
108,Ola,59.58,151.3,41.63,76,4.68,59
109,Tomatlan,19.93,-105.25,82.49,52,14.99,0
110,Nouadhibou,20.93,-17.03,66.2,77,17.22,54
111,Qaqortoq,60.72,-46.03,42.8,70,9.17,8
112,Port Elizabeth,39.31,-74.98,64,93,5.82,90
113,Havre-Saint-Pierre,50.23,-63.6,37.4,93,6.93,90
114,Lewiston,44.1,-70.21,54,32,4.7,1
115,Punta Arenas,-53.16,-70.91,46.4,61,19.46,0
116,Puerto Narino,-3.77,-70.38,75.2,100,0.25,20
117,Moranbah,-22,148.04,74.57,51,13.82,6
118,Port Alfred,-33.59,26.89,61,82,7,27
119,Tiksi,71.64,128.87,30.29,89,11.12,100
120,Kruisfontein,-34,24.73,54.59,90,8.52,1
121,Bontang,0.12,117.47,80.87,83,2.21,34
122,Provideniya,64.42,-173.23,33.53,73,13.8,99
123,Necochea,-38.55,-58.74,57.99,84,4,8
124,Severo-Kurilsk,50.68,156.12,37.85,71,35.48,100
125,Tenenkou,14.46,-4.91,94.19,6,9.93,76
126,Victoria,5.28,115.24,84.2,89,7,75
127,Myaundzha,63.05,147.18,36.05,97,3.69,55
128,Davila,18.47,120.58,84.2,74,4.7,75
129,Mount Gambier,-37.83,140.78,51.8,93,10.29,75
130,Atambua,-9.11,124.89,82.85,68,17.09,100
131,Baruun-Urt,46.68,113.28,56.39,36,9.69,93
132,Krasnoye,44.87,39.46,57.2,93,6.71,75
133,Taoudenni,22.68,-3.98,88.43,7,12.55,40
134,Lagunas,-5.23,-75.68,81.41,60,2.62,72
135,Nova Granada,-20.53,-49.32,77,69,10.29,0
136,Cherskiy,68.75,161.3,29.57,96,3.96,100
137,Codrington,-28.95,153.24,73.99,56,2.55,0
138,Kuruman,-27.46,23.43,48,82,7.58,0
139,Rawson,-43.3,-65.11,54.23,72,7.96,0
140,Pochutla,15.74,-96.47,89.6,46,13.87,5
141,North Bend,43.41,-124.22,57.99,76,20.8,75
142,Zhigalovo,54.81,105.15,33.71,55,8.72,52
143,Sao Joao da Barra,-21.64,-41.05,73.4,78,4.23,75
144,Puerto Quijarro,-19,-57.72,82.4,83,4.7,40
145,Saint-Philippe,45.36,-73.48,55.4,39,8.05,1
146,Porto Nacional,-10.7,-48.41,78.8,83,5.82,0
147,Salamiyah,35.01,37.05,53.51,81,3.42,0
148,Wum,6.39,10.08,69.17,86,4.27,100
149,Gravdal,59.79,5.78,39.99,80,5.82,77
150,Klaksvik,62.23,-6.59,37.4,74,16.11,48
151,Mar del Plata,-46.43,-67.52,48.47,82,8.99,0
152,Husavik,50.56,-96.99,46.99,58,5.01,34
153,Iqaluit,63.75,-68.52,35.6,85,3.18,75
154,Durham,54.78,-1.58,45,100,16.11,75
155,Jacareacanga,-6.22,-57.76,79.25,67,1.81,57
156,Santiago de Cuba,20.03,-75.83,80.6,69,8.05,40
157,Kamenka,53.19,44.05,60.01,68,5.23,1
158,Bambous Virieux,-20.34,57.76,75,88,14.99,75
159,Atar,20.52,-13.05,91.13,7,7.18,2
160,Lunglei,22.89,92.75,73.13,80,1.88,5
161,Yulara,-25.24,130.99,60.8,44,12.75,0
162,Hasaki,35.73,140.83,70,49,11.41,75
163,Puerto Ayora,-0.74,-90.35,82.4,74,11.41,40
164,Gouyave,12.16,-61.73,80.6,83,19.46,20
165,Qasigiannguit,68.82,-51.19,35.6,80,6.93,0
166,Virginia Beach,36.85,-75.98,75.2,68,9.17,40
167,Jinka,5.79,36.57,64.13,83,4.34,90
168,Ust-Kut,56.78,105.75,31.01,53,11.41,0
169,Ponta do Sol,-20.63,-46,64.49,97,5.91,86
170,Tasiilaq,65.61,-37.64,30.2,80,2.24,27
171,Nizhniy Kuranakh,58.84,125.49,42.89,51,6.13,0
172,Aklavik,68.22,-135.01,35.6,86,5.82,90
173,Barabai,-2.59,115.38,81.59,78,1.54,0
174,Riyadh,24.63,46.72,86,23,6.93,69
175,Russell,-33.01,-68.8,62.6,88,4.7,75
176,Mala Bilozerka,47.24,34.94,52.79,79,4.27,100
177,Smiltene,57.42,25.9,39.99,65,1.99,2
178,Gazanjyk,39.24,55.52,81.77,30,4.56,0
179,Turbat,26,63.05,80.51,67,6.42,0
180,Pangoa,-12.12,-73,74.21,71,0.76,0
181,Namatanai,-3.66,152.44,79.25,84,1.92,93
182,Zapadnaya Dvina,56.26,32.09,38.39,91,5.84,46
183,Mega,4.06,38.32,69.35,86,15.64,72
184,Lebu,8.96,38.73,60.8,48,6.93,20
185,Plettenberg Bay,-34.05,23.37,56.39,92,5.1,20
186,Vaini,15.34,74.49,69.8,94,3.36,20
187,Carutapera,-1.2,-46.02,78.89,88,4.25,52
188,Nishihara,35.74,139.53,75,45,5.82,75
189,Vanimo,-2.67,141.3,82.49,74,2.26,100
190,San Ramon,12.92,-85.84,82.4,54,11.41,40
191,Venado Tuerto,-33.75,-61.97,60.01,50,5.99,58
192,Erenhot,43.65,111.97,61.97,16,21.72,21
193,Airai,-8.93,125.41,78.71,66,10.07,100
194,Ponta Delgada,37.73,-25.67,62.6,100,14.99,75
195,Mattawa,46.32,-78.7,53.01,34,3.36,90
196,Dondo,-19.62,34.74,71.6,100,2.39,20
197,Vostok,46.45,135.83,48.65,63,7.47,72
198,Constitucion,23.99,-104.67,80.6,10,19.46,75
199,Sur,22.57,59.53,83.21,58,13.47,0
200,Dubbo,-32.25,148.6,57.2,54,9.17,4
201,Homer,59.64,-151.54,53.6,53,16.11,75
202,Kambar,27.59,68,92.57,27,5.66,47
203,Egvekinot,66.32,-179.17,17.33,90,17.69,27
204,The Pas,53.82,-101.24,44.6,39,3.36,75
205,Saint Anthony,43.97,-111.68,60.8,22,11.41,40
206,Dera Bugti,29.03,69.15,83.21,16,2.42,81
207,Bathsheba,13.22,-59.52,80.6,74,12.75,40
208,Ketchikan,55.34,-131.65,60.8,63,17.22,20
209,Leningradskiy,69.38,178.42,21.11,84,5.57,100
210,Beringovskiy,63.05,179.32,24.35,81,7.49,0
211,Lorengau,-2.02,147.27,81.23,84,3.22,46
212,Baijiantan,45.63,85.18,61.43,35,14.61,0
213,Saint-Augustin,44.83,-0.61,57.2,67,20.8,75
214,Faya,18.39,42.45,66.2,52,1.43,0
215,Alyangula,-13.85,136.42,84.2,45,6.93,25
216,Port Keats,-14.25,129.55,77.99,48,17.05,100
217,Talnakh,69.49,88.39,19.4,92,6.71,75
218,Taksimo,56.36,114.84,32.45,62,4.09,90
219,Berlevag,70.86,29.09,35.6,80,23.04,40
220,Havelock,34.88,-76.9,73.99,68,4.7,20
221,Pangnirtung,66.15,-65.72,36.05,73,3.36,35
222,Never,53.98,124.16,46.31,50,6.42,1
223,Kirakira,-10.46,161.92,82.49,82,12.41,100
224,Esterhazy,50.65,-102.08,49.01,31,9.75,1
225,Zvishavane,-20.32,30.05,55.85,69,1.9,0
226,Sao Jose da Coroa Grande,-8.9,-35.15,76.01,86,1.68,98
227,Padang,-0.92,100.36,77,94,2.24,20
228,Liepaja,56.52,21.02,42.8,74,5.82,44
229,Mutoko,-17.4,32.23,56.21,92,1.95,4
230,Sorland,67.67,12.69,40.19,71,7.96,100
231,Segou,12.41,-12.29,95,26,4.7,0
232,Wenling,28.38,121.38,75,52,2.21,1
233,Marabba,12.35,32.18,95.09,29,8.3,32
234,Zhuhai,40.71,112.04,51.8,62,2.24,0
235,Fengzhen,40.43,113.15,54.41,31,4,0
236,College,64.86,-147.8,50,76,5.82,90
237,Chokurdakh,70.62,147.9,22.37,92,9.51,44
238,Qaanaaq,77.48,-69.36,25.97,81,0.6,0
239,Los Llanos de Aridane,28.66,-17.92,66.2,77,8.05,40
240,Faanui,-16.48,-151.75,84.11,75,9.31,0
241,San Cristobal,-0.39,-78.55,57.2,87,6.93,40
242,Bol,13.47,14.72,85.91,37,6.87,70
243,Inirida,3.87,-67.92,76.19,97,2.57,90
244,Goksun,38.02,36.5,48.2,93,1.12,0
245,Sabang,13.72,123.58,82.85,77,4.85,100
246,Arrifes,37.77,-25.7,62.6,100,14.99,75
247,Katobu,-4.94,122.53,82.49,74,4.21,15
248,Dhidhdhoo,6.88,73.1,84.65,62,10.29,0
249,Adre,13.47,22.2,83.21,10,10.13,7
250,Okitipupa,6.5,4.78,80.15,85,4,100
251,Inuvik,68.36,-133.71,35.6,86,5.82,90
252,Kondopoga,62.21,34.27,30.2,92,4.32,0
253,Tarata,-17.47,-70.03,62.6,82,6.93,90
254,Waipawa,-39.94,176.59,66.99,51,1.01,0
255,Krasnovishersk,60.4,57.08,45.23,85,2.53,0
256,Jumla,29.28,82.18,39.83,20,6.42,0
257,San Quintin,17.54,120.52,84.83,58,3.85,100
258,Talara,-4.58,-81.27,72.05,87,19.51,57
259,Zhuzhou,27.84,113.15,64.4,82,4.47,0
260,Along,28.17,94.8,53.69,94,3.15,100
261,Rio Grande,-32.03,-52.1,65.21,82,5.97,83
262,Taseyevo,57.22,94.9,32.45,62,9.35,3
263,Hofn,64.25,-15.21,23.45,84,11.14,81
264,Porvoo,60.4,25.66,36,100,3.36,0
265,Longyearbyen,78.22,15.63,19.4,57,16.11,75
266,Vysokogornyy,50.1,139.13,39.65,62,5.57,99
267,Salalah,17.01,54.1,82.4,78,3.36,40
268,Letka,43.74,17.27,53.6,76,2.24,20
269,Illkirch-Graffenstaden,48.53,7.71,48.99,87,6.93,98
270,Aswan,24.09,32.9,78.8,16,6.93,0
271,Cahors,44.45,1.44,51.01,91,4,53
272,Mirnyy,56.57,36.46,43.79,94,7.45,92
273,Gopalganj,23.01,89.83,82.49,82,9.4,0
274,Alekseyevka,53.25,50.49,57.2,82,1.74,0
275,Beipiao,41.8,120.76,68.81,17,7.99,0
276,Teutonia,51.59,9.03,51.01,81,12.75,75
277,Ulsteinvik,62.35,5.85,36,93,6.93,100
278,Nyagan,62.14,65.43,38.39,58,7.81,0
279,Lofthus,59.95,10.8,42.01,64,5.82,75
280,Niquero,20.04,-77.58,82.67,76,12.77,53
281,Corner Brook,48.95,-57.95,39.2,86,10.29,90
282,Ozinki,51.2,49.73,61.97,65,4,0
283,Mana,43.52,20.24,46.4,87,1.12,0
284,Yar-Sale,66.83,70.83,25.07,83,9.62,53
285,Tamiahua,21.28,-97.45,80.51,80,16.67,0
286,Saskylakh,71.97,114.09,20.03,93,5.55,67
287,Arraial do Cabo,-22.97,-42.02,75.2,53,4.7,40
288,Colares,38.8,-9.45,59,93,4.7,75
289,Clyde River,70.47,-68.59,24.8,100,3.36,1
290,Brae,60.4,-1.35,39.2,86,5.82,1
291,Petropavlovsk-Kamchatskiy,53.05,158.65,46.4,61,11.18,100
292,Port Blair,11.67,92.75,84.83,76,13.35,99
293,Talcahuano,-36.72,-73.12,53.6,81,2.24,75
294,Viedma,-40.81,-62.99,56.39,72,9.33,46
295,Mandali,33.75,45.55,77.63,35,9.28,20
296,Aldan,58.61,125.39,42.89,51,6.13,0
297,Pevek,69.7,170.27,28.13,74,12.33,0
298,Bereda,43.27,-7.54,57,81,6.93,0
299,Phuket,7.89,98.4,84.2,74,12.75,75
300,Lasa,34.92,32.53,59,76,6.93,20
301,Fort Nelson,58.81,-122.69,66.2,32,8.05,75
302,El Alto,-16.5,-68.19,39.2,93,5.82,40
303,Caravelas,-17.73,-39.27,77.27,79,11.52,12
304,Anadyr,64.73,177.51,28.4,68,6.71,75
305,Termez,37.23,67.28,82.4,63,2.24,0
306,Cayenne,4.94,-52.33,80.6,83,9.17,75
307,Filadelfia,-22.35,-60.04,78.53,72,6.29,14
308,Sibolga,1.74,98.78,82.31,71,6.33,100
309,Pacific Grove,36.62,-121.92,71.01,63,12.75,90
310,Strezhevoy,60.73,77.6,30.2,74,6.71,0
311,Saint-Dizier,48.64,4.95,48.2,87,9.17,0
312,Saint-Joseph,43.56,6.97,54,93,3.98,90
313,Crossville,35.95,-85.03,80.6,56,5.82,1
314,Mehamn,71.03,27.85,35.6,80,23.04,40
315,Yumen,40.29,97.04,53.87,46,19.98,31
316,Darasun,51.66,113.98,51.8,50,15.66,40
317,Suntar,62.16,117.65,41.99,63,8.52,57
318,Wajir,1.75,40.07,76.01,84,13.44,97
319,Geraldton,49.72,-86.95,48.2,29,6.93,75
320,Hami,42.84,93.51,58.55,41,2.17,61
321,Vestmanna,62.16,-7.17,37.4,74,16.11,52
322,Bilibino,68.06,166.44,29.57,92,5.46,50
323,Jabinyanah,35.03,10.91,62.6,77,12.24,20
324,Westport,53.8,-9.52,45,82,13.29,1
325,Makinsk,52.63,70.42,62.87,41,5.01,97
326,Oromocto,45.85,-66.47,46.99,42,10.29,20
327,Amga,60.89,131.98,45.23,63,7.4,29
328,Farafangana,-22.82,47.83,68.27,97,3.4,74
329,Khurba,50.41,136.89,38.21,72,9.08,93
330,Boddam,57.47,-1.78,43,75,6.93,75
331,Sujiatun,45.81,127.11,62.6,27,4.47,0
332,Shaunavon,49.65,-108.41,52.43,29,7.83,80
333,Mount Isa,-20.73,139.49,71.6,33,8.05,0
334,Ila,63.43,10.37,37.99,74,8.05,0
335,Sainte-Adele,45.95,-74.13,55.4,25,5.82,20
336,Villamar,20.02,-102.6,79.07,10,10.27,0
337,Naze,5.43,7.07,78.8,94,2.24,20
338,Norman Wells,65.28,-126.83,64.4,36,5.82,75
339,Komsomolskiy,67.55,63.78,26.51,88,12.24,23
340,Fortuna,38.18,-1.13,75,49,2.24,0
341,Calama,-22.46,-68.93,62.6,17,10.29,0
342,At-Bashi,41.17,75.81,39.29,54,4.38,0
343,Oranjestad,12.52,-70.03,80.6,83,23.04,20
344,Grindavik,63.84,-22.43,42.01,64,1.12,75
345,Katsuura,33.93,134.5,68,63,3.36,75
346,Ternate,14.29,120.72,86,83,2.24,75
347,Sungairaya,0.7,108.9,86.09,74,10.87,99
348,Honiara,-9.43,159.96,87.8,74,8.05,75
349,Skjervoy,70.03,20.97,37.31,73,14.12,100
350,Baykit,61.68,96.39,23.99,83,11.83,75
351,Adrar,27.87,-0.29,82.4,9,11.41,0
352,Pontianak,-0.02,109.34,77,88,3.36,20
353,Bad Aussee,47.61,13.78,51.01,75,8.99,100
354,Verkhnyaya Inta,65.99,60.32,36.95,73,5.64,0
355,Hay River,60.82,-115.79,55.4,32,14.99,75
356,Ledec,49.97,15.59,55.4,58,9.17,100
357,Takoradi,4.89,-1.75,79.79,87,3.58,42
358,Mahon,51.89,-8.4,46.99,87,9.17,40
359,Bashtanka,47.4,32.45,50.27,82,9.64,14
360,Gazojak,41.19,61.4,78.53,14,5.84,63
361,Touros,-5.2,-35.46,78.8,94,3.36,20
362,Kavieng,-2.57,150.8,81.77,77,9.53,100
363,Sola,62.78,29.36,33.8,86,2.24,0
364,Meiktila,20.88,95.86,85.91,54,9.82,46
365,Alofi,-19.06,-169.92,80.6,65,10.29,75
366,Sisimiut,66.94,-53.67,37.13,72,20.38,0
367,Tomari,47.76,142.06,38.03,90,1.9,83
368,Bintulu,3.17,113.03,82.4,88,4.7,75
369,Khor,47.88,134.96,49.37,54,9.8,98
370,Kaeo,-35.1,173.78,71.01,66,11.99,1
371,Abdulino,53.68,53.66,57.47,83,3.4,0
372,Tilichiki,60.47,166.1,51.71,42,8.14,0
373,Qandala,11.47,49.87,85.91,74,2.64,30
374,Bela,26.23,66.31,77.63,57,4.09,0
375,Srednekolymsk,67.46,153.71,37.49,85,10.51,20
376,Kimbe,-5.56,150.15,87.17,59,3.4,58
377,Barsovo,61.17,73.17,32,64,13.42,0
378,Sangar,63.92,127.47,42.17,71,14.38,98
379,Kaoma,-14.8,24.8,58.91,65,4.59,43
380,Ibra,22.69,58.55,75.83,57,5.77,0
381,Khammam,17.25,80.15,86.63,58,2.95,1
382,Qianan,44.99,124.06,65.21,25,11.81,6
383,Touba,14.86,-15.88,84.29,26,8.01,0
384,San Patricio,-26.98,-56.83,72.41,96,4.21,100
385,Naron,43.52,-8.15,57,81,6.93,0
386,Ariano Irpino,41.15,15.09,59,100,4.7,0
387,Kenai,60.55,-151.26,50,66,11.41,20
388,Camopi,3.17,-52.33,74.03,99,2.04,100
389,Tadine,-21.55,167.88,77.27,81,16.31,40
390,Kargasok,59.06,80.87,35.15,66,5.66,25
391,Ilulissat,69.22,-51.1,35.6,80,6.93,0
392,Guerrero Negro,27.97,-114.04,62.15,81,13.6,23
393,Narsaq,60.91,-46.05,42.8,70,9.17,8
394,Sovetskiy,56.76,48.47,58.55,73,3.38,1
395,Hambantota,6.12,81.12,75.2,100,2.24,0
396,Dingle,11,122.67,87.17,58,2.08,80
397,Roxana,38.85,-90.08,79,73,13.87,90
398,Acapulco,16.86,-99.88,80.6,83,11.41,20
399,Wuwei,37.93,102.64,50.99,56,3.67,84
400,Marrakesh,31.63,-7.99,68,60,2.24,0
401,Biltine,14.53,20.93,90.59,8,11.3,11
402,Aripuana,-9.17,-60.63,79.25,71,0.89,88
403,Singaparna,-7.35,108.11,71.33,89,4,6
404,Alenquer,-1.95,-54.74,80.6,94,4.7,20
405,Tilbury,51.46,0.36,51.01,87,3.36,85
406,Anshun,26.25,105.93,52.25,92,5.41,97
407,Margate,-43.03,147.26,54,66,9.17,75
408,Bowen,-20.01,148.25,80.01,65,18.34,40
409,Mandalgovi,45.76,106.27,54.77,26,20.98,6
410,Kloulklubed,7.04,134.26,84.2,79,10.29,75
411,Syamzha,60.02,41.06,42.17,93,7.05,99
412,Riverton,43.02,-108.38,46.4,45,17.22,90
413,Gamba,28.28,88.52,31.55,48,3.13,0
414,Larsnes,62.2,5.58,36,93,6.93,100
415,Ulladulla,-35.36,150.48,61,51,11.41,0
416,Saint-Louis,47.59,7.56,48.2,87,4.7,0
417,Sabha,27.03,14.43,80.33,14,6.22,0
418,Marzuq,14.4,46.47,72.77,37,6.93,0
419,Tabou,4.42,-7.36,77.09,95,2.53,100
420,Tarko-Sale,64.92,77.78,30,72,6.42,100
421,Palmer,61.6,-149.11,52,66,9.17,90
422,Camacupa,-12.02,17.48,59.81,77,2.71,22
423,Leshukonskoye,64.9,45.76,39.65,90,5.61,100
424,Yeppoon,-23.13,150.74,77,57,10.29,20
425,Elliot Lake,46.37,-82.65,50,39,9.17,90
426,Muros,42.77,-9.06,57,93,6.93,75
427,Kawalu,-7.38,108.21,71.33,89,4,6
428,Harper,30.3,-99.24,82.99,47,8.03,1
429,Flinders,-34.58,150.85,63,51,11.41,0
430,Moron,10.49,-68.2,78.35,83,1.52,100
431,Mo i Rana,66.32,14.15,37,92,5.19,99
432,Buala,-8.15,159.59,84.47,75,8.63,33
433,Yuxia,34.06,108.63,59,77,3.56,20
434,Dunedin,-45.87,170.5,60.01,75,1.01,59
435,Ust-Tsilma,65.44,52.15,45.95,87,7.83,84
436,Sinop,42.03,35.15,50.63,85,7.63,96
437,Soligalich,59.08,42.29,52.25,98,4.25,92
438,Biga,40.23,27.24,48.99,100,3.36,0
439,Xining,36.62,101.77,38.93,64,2.71,41
440,Lompoc,34.64,-120.46,66.99,77,8.05,90
441,Seoul,37.57,126.98,64.4,63,4.7,20
442,Tautira,-17.73,-149.15,87.8,70,11.41,20
443,Manta,45.1,24.1,40.73,76,4.54,0
444,General Roca,-39.03,-67.58,55.4,87,5.82,75
445,Nelson Bay,-32.72,152.14,68,58,9.17,0
446,Sudbury,46.49,-80.99,53.01,29,10.29,90
447,Nador,35.17,-2.93,68,64,14.99,0
448,Derzhavinsk,51.1,66.31,63.05,42,6.89,0
449,Zhigansk,66.77,123.37,30.47,97,7.94,100
450,Sokolo,14.74,-6.12,93.83,4,15.28,6
451,Xiongzhou,32.34,118.83,72,64,8.95,88
452,Mozhga,56.44,52.22,54.23,88,2.1,0
453,Buraydah,26.33,43.97,82.4,37,8.05,40
454,Ancud,-41.87,-73.83,48.2,100,2.24,90
455,Znamenskoye,57.13,73.82,47.21,69,9.46,100
456,San Juan,-31.54,-68.53,54.05,65,2.51,39
457,Esperance,10.24,-61.45,82,83,8.05,20
458,Avera,33.19,-82.53,78.8,61,4.54,1
459,Gazli,40.13,63.45,75.83,19,4.14,33
460,Pigai,40.9,24.67,54,76,3.06,18
461,Lamar,38.09,-102.62,48.2,76,16.11,90
462,Tourlaville,49.64,-1.57,52,93,3.36,35
463,Haines Junction,60.75,-137.51,53.87,35,20.49,7
464,Manoel Urbano,-8.84,-69.26,74.57,96,2.55,38
465,Kitimat,54.02,-128.69,71.6,35,5.82,75
466,Kondinskoye,59.65,67.41,46.85,50,12.26,97
467,Hopelchen,19.77,-89.85,96.8,37,11.41,5
468,Emba,34.81,32.42,59,76,6.93,20
469,Kyabe,9.45,18.94,87.89,47,9.37,82
470,Samarai,-10.62,150.67,82.49,68,5.12,69
471,Killam,52.79,-111.86,57.29,36,4.61,65
472,Belmonte,40.36,-7.35,51.01,85,5.01,97
473,Tottori,35.5,134.23,68,52,6.93,75
474,Ilhabela,-23.78,-45.36,75.11,67,10.58,94
475,Khasan,42.43,130.64,65.57,37,9.86,0
476,Aktau,43.65,51.16,55.4,87,6.71,0
477,Le Port,42.87,1.37,48,71,5.01,37
478,Uxbridge,51.55,-0.48,50,93,5.82,84
479,Scarborough,54.28,-0.41,46.99,93,11.41,100
480,Silver City,32.77,-108.28,66.2,25,24.16,1
481,Luwuk,-0.95,122.79,71.33,91,0.92,88
482,Norton Shores,43.17,-86.26,59,41,17.22,75
483,Broken Hill,-31.97,141.45,59,47,13.87,75
484,Porto-Vecchio,41.59,9.28,64.4,67,9.17,20
485,Senador Pompeu,-5.58,-39.37,72.23,96,1.81,98
